participant_id,participant_longitude,participant_latitude,participant_zip_code,participant_city,participant_state,age,gender,hispanic_or_latino,race,race_self_identify_text,education_level,languages_home,languages_home_other,last_flood_experience,flood_preparation_actions,flood_response_actions,flood_map_experience,flood_map_experience_other,selected_folder,selected_image,image_longitude,image_latitude,image_zip_code,image_city,image_state,flood_risk_severity,flood_frequency,flood_risk_understanding,confidence_in_map,likely_to_buy_property,likely_to_rent_property,likely_to_buy_insurance,likely_to_take_preventive_actions,use_flood_maps_frequency,ease_of_interpretation,additional_comments
001,-82.2911,27.9032,33511,Brandon,Florida,35 to 44   ,Male,No,White ,,High school graduate  ,English ,,2024,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables","Contacted emergency services or authorities,Used a generator or backup power supply,Stayed inside and monitored flood updates","No, I do not have any previous experience ",,fema,location_142,-87.8878831,43.0728421,53211,Milwaukee,Wisconsin,Moderate,5,Very well,Extremely confident,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat easy,
001,-82.2911,27.9032,33511,Brandon,Florida,35 to 44   ,Male,No,White ,,High school graduate  ,English ,,2024,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables","Contacted emergency services or authorities,Used a generator or backup power supply,Stayed inside and monitored flood updates","No, I do not have any previous experience ",,fema,location_1,-90.454989,38.560877,63122,St Louis,Missouri,Moderate,3,Moderately well,Somewhat confident,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Sometimes,Neither easy nor difficult,
002,-97.822,37.751,20790,Capitol Heights,Maryland,25 to 34   ,Male,Yes,White ,,Master’s degree  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Used a generator or backup power supply,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,fema,location_204,-90.1085218,32.3820072,39211,Jackson,Mississippi,Very High,moderate to high,Extremely well,Very confident,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat difficult,
002,-97.822,37.751,20790,Capitol Heights,Maryland,25 to 34   ,Male,Yes,White ,,Master’s degree  ,English ,,2020,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Used a generator or backup power supply,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,fema,location_191,-84.2035305,30.1548305,32355,St. Marks,Florida,High,moderate to high,Very well,Slightly confident,Very likely,Somewhat likely,Somewhat likely,Very likely,Sometimes,Somewhat difficult,
003,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2016,Monitored weather reports and flood warnings,Contacted emergency services or authorities,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_230,-71.278217,41.676786,2809,Bristol,Rhode Island,High,3 year,Very well,Very confident,Somewhat likely,Very likely,Somewhat likely,Very likely,Often,Somewhat easy,flood areas
003,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2016,Monitored weather reports and flood warnings,Contacted emergency services or authorities,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_236,-97.056,28.01229,78382,Rockport,Texas,High, 3 year,Very well,Very confident,Somewhat likely,Very likely,Somewhat likely,Very likely,Always,Somewhat easy,sea level
004,-97.822,37.751,33728,Saint Petersburg,Florida,25 to 34   ,Male,Yes,White ,,Master’s degree  ,English ,,2016,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities,Assisted neighbors or community members,Stayed inside and monitored flood updates","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_249,-123.010005,38.468961,95462,Monte Rio,California,Moderate,2,Moderately well,Somewhat confident,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Neither likely nor unlikely,Often,Somewhat easy,Nothing
004,-97.822,37.751,33728,Saint Petersburg,Florida,25 to 34   ,Male,Yes,White ,,Master’s degree  ,English ,,2016,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities,Assisted neighbors or community members,Stayed inside and monitored flood updates","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_232,-122.500249,48.766095,98225,Bellingham,Washington,Low,3,Moderately well,Somewhat confident,Neither likely nor unlikely,Very likely,Somewhat unlikely,Neither likely nor unlikely,Sometimes,Somewhat easy,Nothing
005,-97.822,37.751,97001,Antelope,Oregon,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2015,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas,Did not take any action to respond","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_217,-95.162362,29.515051,77546,Houston,Texas,Very High,Once every 3 years,Extremely well,Extremely confident,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Always,Extremely difficult,Its very interesting survey
005,-97.822,37.751,97001,Antelope,Oregon,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2015,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas,Did not take any action to respond","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_70,-73.113365,44.637054,5468,Milton,Vermont,Very High, 1964 and 2015,Not well at all,Extremely confident,Very unlikely,Very unlikely,Very likely,Very likely,Always,Extremely easy,Its interesting survey
